-------------------------------------------------------
NAV_START | 73 | Sat Nov 30 20:25:20 EST 2019
CUR_LOC | 40.37594885 | -80.01355303 | 0.0m/s | 449.29095m | 73 | Sat Nov 30 20:25:20 EST 2019
CUR_LOC | 40.37594889 | -80.01355314 | 0.0m/s | 449.3004m | 73 | Sat Nov 30 20:25:21 EST 2019
CUR_LOC | 40.37594892 | -80.0135532 | 0.0m/s | 449.30624m | 73 | Sat Nov 30 20:25:22 EST 2019
CUR_LOC | 40.37594893 | -80.01355324 | 0.0m/s | 449.3093m | 73 | Sat Nov 30 20:25:24 EST 2019
CUR_LOC | 40.37594897 | -80.01355326 | 0.0m/s | 449.31378m | 73 | Sat Nov 30 20:25:25 EST 2019
CUR_LOC | 40.375949 | -80.01355328 | 0.0m/s | 449.3174m | 73 | Sat Nov 30 20:25:25 EST 2019
CUR_LOC | 40.37594905 | -80.01355331 | 0.0m/s | 449.3233m | 73 | Sat Nov 30 20:25:27 EST 2019
CUR_LOC | 40.37594911 | -80.01355333 | 0.0m/s | 449.32947m | 73 | Sat Nov 30 20:25:28 EST 2019
CUR_LOC | 40.37594914 | -80.01355333 | 0.0m/s | 449.332m | 73 | Sat Nov 30 20:25:29 EST 2019
CUR_LOC | 40.37594919 | -80.01355339 | 0.0m/s | 449.33954m | 73 | Sat Nov 30 20:25:30 EST 2019
CUR_LOC | 40.37594923 | -80.01355344 | 0.0m/s | 449.34567m | 73 | Sat Nov 30 20:25:31 EST 2019
CUR_LOC | 40.37594925 | -80.01355352 | 0.0m/s | 449.35178m | 73 | Sat Nov 30 20:25:32 EST 2019
CUR_LOC | 40.37594927 | -80.01355355 | 0.0m/s | 449.3551m | 73 | Sat Nov 30 20:25:33 EST 2019
CUR_LOC | 40.37594925 | -80.01355355 | 0.0m/s | 449.35342m | 73 | Sat Nov 30 20:25:34 EST 2019
CUR_LOC | 40.37594926 | -80.01355357 | 0.0m/s | 449.35538m | 73 | Sat Nov 30 20:25:35 EST 2019
CUR_LOC | 40.37594933 | -80.01355368 | 0.0m/s | 449.36734m | 73 | Sat Nov 30 20:25:36 EST 2019
CUR_LOC | 40.3759494 | -80.01355379 | 0.0m/s | 449.3793m | 73 | Sat Nov 30 20:25:37 EST 2019
CUR_LOC | 40.37594946 | -80.0135539 | 0.0m/s | 449.39044m | 73 | Sat Nov 30 20:25:38 EST 2019
CUR_LOC | 40.37594949 | -80.01355395 | 0.0m/s | 449.39572m | 73 | Sat Nov 30 20:25:38 EST 2019
CUR_LOC | 40.37594954 | -80.01355402 | 0.0m/s | 449.4038m | 72 | Sat Nov 30 20:25:40 EST 2019
CUR_LOC | 40.37594681 | -80.01355135 | 0.5m/s | 449.02603m | 72 | Sat Nov 30 20:25:41 EST 2019
CUR_LOC | 40.3759398 | -80.01356227 | 0.75m/s | 449.0367m | 72 | Sat Nov 30 20:25:41 EST 2019
CUR_LOC | 40.37593012 | -80.01357146 | 1.0m/s | 448.73013m | 72 | Sat Nov 30 20:25:43 EST 2019
CUR_LOC | 40.37590537 | -80.01357917 | 2.5m/s | 447.0817m | 72 | Sat Nov 30 20:25:44 EST 2019
CUR_LOC | 40.37587696 | -80.01357563 | 3.0m/s | 444.50903m | 72 | Sat Nov 30 20:25:45 EST 2019
CUR_LOC | 40.37583943 | -80.01355344 | 4.0m/s | 440.1362m | 72 | Sat Nov 30 20:25:46 EST 2019
CUR_LOC | 40.37580172 | -80.01351901 | 4.5m/s | 435.0626m | 72 | Sat Nov 30 20:25:47 EST 2019
CUR_LOC | 40.3757717 | -80.01348507 | 4.0m/s | 430.65613m | 72 | Sat Nov 30 20:25:48 EST 2019
CUR_LOC | 40.37574433 | -80.01345417 | 3.75m/s | 426.6411m | 72 | Sat Nov 30 20:25:48 EST 2019
CUR_LOC | 40.37572329 | -80.0134295 | 3.25m/s | 423.50305m | 72 | Sat Nov 30 20:25:50 EST 2019
CUR_LOC | 40.37570381 | -80.01340729 | 3.25m/s | 420.6332m | 72 | Sat Nov 30 20:25:51 EST 2019
CUR_LOC | 40.37568403 | -80.01338302 | 3.25m/s | 417.62238m | 72 | Sat Nov 30 20:25:51 EST 2019
CUR_LOC | 40.3756625 | -80.01335443 | 3.25m/s | 414.2229m | 72 | Sat Nov 30 20:25:53 EST 2019
CUR_LOC | 40.37563952 | -80.01332071 | 3.5m/s | 410.41443m | 72 | Sat Nov 30 20:25:54 EST 2019
CUR_LOC | 40.37559169 | -80.013258 | 6.25m/s | 402.9085m | 72 | Sat Nov 30 20:25:54 EST 2019
CUR_LOC | 40.37549925 | -80.01313681 | 8.25m/s | 388.40414m | 72 | Sat Nov 30 20:25:55 EST 2019
CUR_LOC | 40.37544122 | -80.01306319 | 8.75m/s | 379.4375m | 72 | Sat Nov 30 20:25:56 EST 2019
CUR_LOC | 40.37539391 | -80.01300924 | 9.0m/s | 372.46686m | 72 | Sat Nov 30 20:25:57 EST 2019
CUR_LOC | 40.37533359 | -80.01293933 | 9.25m/s | 363.5165m | 72 | Sat Nov 30 20:25:58 EST 2019
CUR_LOC | 40.37527508 | -80.01286296 | 9.25m/s | 354.35687m | 72 | Sat Nov 30 20:26:00 EST 2019
