-------------------------------------------------------
NAV_START | Fri Nov 22 12:21:51 EST 2019 | 12%
CUR_LOC | Fri Nov 22 12:37:02 EST 2019 | 6% | 40.43636599 | -79.96245827 | 1.25m/s | 5993.5225m
CUR_LOC | Fri Nov 22 12:37:03 EST 2019 | 6% | 40.43637541 | -79.96244671 | 1.25m/s | 5992.0913m
CUR_LOC | Fri Nov 22 12:37:04 EST 2019 | 6% | 40.43638503 | -79.96243729 | 1.25m/s | 5990.7764m
CUR_LOC | Fri Nov 22 12:37:05 EST 2019 | 6% | 40.43640163 | -79.96243724 | 1.25m/s | 5989.5073m
CUR_LOC | Fri Nov 22 12:37:06 EST 2019 | 6% | 40.43641973 | -79.96243843 | 1.25m/s | 5988.201m
CUR_LOC | Fri Nov 22 12:37:07 EST 2019 | 6% | 40.43643318 | -79.96243446 | 1.25m/s | 5986.931m
CUR_LOC | Fri Nov 22 12:37:08 EST 2019 | 6% | 40.43645077 | -79.96243698 | 1.25m/s | 5985.746m
CUR_LOC | Fri Nov 22 12:37:09 EST 2019 | 6% | 40.43647022 | -79.96244671 | 1.25m/s | 5984.8647m
CUR_LOC | Fri Nov 22 12:37:10 EST 2019 | 6% | 40.43648439 | -79.96245334 | 1.25m/s | 5984.1953m
CUR_LOC | Fri Nov 22 12:37:11 EST 2019 | 6% | 40.43649695 | -79.96246045 | 1.25m/s | 5983.678m
CUR_LOC | Fri Nov 22 12:37:12 EST 2019 | 6% | 40.43650613 | -79.96246413 | 1.25m/s | 5983.2065m
CUR_LOC | Fri Nov 22 12:37:13 EST 2019 | 6% | 40.4365139 | -79.96246639 | 1.25m/s | 5982.755m
CUR_LOC | Fri Nov 22 12:37:14 EST 2019 | 6% | 40.4365191 | -79.96246564 | 1.25m/s | 5982.313m
CUR_LOC | Fri Nov 22 12:37:15 EST 2019 | 6% | 40.43652555 | -79.96246854 | 1.25m/s | 5982.0015m
CUR_LOC | Fri Nov 22 12:37:16 EST 2019 | 6% | 40.43653263 | -79.96247272 | 1.0m/s | 5981.721m
CUR_LOC | Fri Nov 22 12:37:17 EST 2019 | 6% | 40.43654036 | -79.96247861 | 1.0m/s | 5981.497m
CUR_LOC | Fri Nov 22 12:37:18 EST 2019 | 6% | 40.43654916 | -79.96248605 | 1.0m/s | 5981.2876m
CUR_LOC | Fri Nov 22 12:37:19 EST 2019 | 6% | 40.43655802 | -79.96249537 | 1.0m/s | 5981.1904m
CUR_LOC | Fri Nov 22 12:37:20 EST 2019 | 6% | 40.43656338 | -79.96250044 | 1.0m/s | 5981.096m
CUR_LOC | Fri Nov 22 12:37:21 EST 2019 | 6% | 40.43656768 | -79.96250502 | 1.0m/s | 5981.0527m
CUR_LOC | Fri Nov 22 12:37:22 EST 2019 | 6% | 40.43657198 | -79.96250736 | 1.0m/s | 5980.8706m
CUR_LOC | Fri Nov 22 12:37:23 EST 2019 | 6% | 40.4365756 | -79.96250915 | 1.0m/s | 5980.706m
CUR_LOC | Fri Nov 22 12:37:24 EST 2019 | 6% | 40.43657866 | -79.96250982 | 1.0m/s | 5980.515m
CUR_LOC | Fri Nov 22 12:37:25 EST 2019 | 6% | 40.43658139 | -79.96251121 | 1.0m/s | 5980.3936m
CUR_LOC | Fri Nov 22 12:37:26 EST 2019 | 6% | 40.43658197 | -79.96251409 | 1.0m/s | 5980.528m
CUR_LOC | Fri Nov 22 12:37:27 EST 2019 | 6% | 40.436584 | -79.96251818 | 1.0m/s | 5980.6265m
CUR_LOC | Fri Nov 22 12:37:28 EST 2019 | 6% | 40.43658567 | -79.96251861 | 1.0m/s | 5980.5264m
CUR_LOC | Fri Nov 22 12:37:29 EST 2019 | 6% | 40.43659165 | -79.96252307 | 1.0m/s | 5980.3477m
CUR_LOC | Fri Nov 22 12:37:30 EST 2019 | 6% | 40.43659559 | -79.96252495 | 1.0m/s | 5980.165m
CUR_LOC | Fri Nov 22 12:37:31 EST 2019 | 6% | 40.43659962 | -79.9625253 | 1.0m/s | 5979.8804m
CUR_LOC | Fri Nov 22 12:37:32 EST 2019 | 6% | 40.43660619 | -79.9625282 | 1.0m/s | 5979.561m
CUR_LOC | Fri Nov 22 12:37:33 EST 2019 | 6% | 40.43661273 | -79.96253042 | 1.0m/s | 5979.2017m
CUR_LOC | Fri Nov 22 12:37:34 EST 2019 | 6% | 40.43661701 | -79.96253055 | 1.0m/s | 5978.885m
CUR_LOC | Fri Nov 22 12:37:35 EST 2019 | 6% | 40.43661956 | -79.96253093 | 1.0m/s | 5978.7144m
CUR_LOC | Fri Nov 22 12:37:36 EST 2019 | 6% | 40.43662175 | -79.96252667 | 1.0m/s | 5978.2847m
CUR_LOC | Fri Nov 22 12:37:37 EST 2019 | 6% | 40.43662478 | -79.96252558 | 1.0m/s | 5977.987m
CUR_LOC | Fri Nov 22 12:37:38 EST 2019 | 6% | 40.43663385 | -79.96252985 | 1.0m/s | 5977.5625m
CUR_LOC | Fri Nov 22 12:37:39 EST 2019 | 6% | 40.43664205 | -79.96253699 | 1.0m/s | 5977.3823m
CUR_LOC | Fri Nov 22 12:37:40 EST 2019 | 6% | 40.43665338 | -79.96254793 | 1.25m/s | 5977.1997m
CUR_LOC | Fri Nov 22 12:37:41 EST 2019 | 6% | 40.43666294 | -79.96255615 | 1.25m/s | 5976.984m
CUR_LOC | Fri Nov 22 12:37:42 EST 2019 | 6% | 40.43667574 | -79.9625678 | 1.25m/s | 5976.735m
CUR_LOC | Fri Nov 22 12:37:43 EST 2019 | 6% | 40.43669049 | -79.96258248 | 1.25m/s | 5976.526m
CUR_LOC | Fri Nov 22 12:37:44 EST 2019 | 6% | 40.43670433 | -79.96259697 | 1.25m/s | 5976.3755m
CUR_LOC | Fri Nov 22 12:37:45 EST 2019 | 6% | 40.43671935 | -79.96261385 | 1.25m/s | 5976.284m
CUR_LOC | Fri Nov 22 12:37:46 EST 2019 | 6% | 40.43673459 | -79.96263384 | 1.25m/s | 5976.37m
CUR_LOC | Fri Nov 22 12:37:47 EST 2019 | 6% | 40.43675263 | -79.96265936 | 1.25m/s | 5976.5884m
CUR_LOC | Fri Nov 22 12:37:48 EST 2019 | 6% | 40.43677246 | -79.9626869 | 1.75m/s | 5976.798m
CUR_LOC | Fri Nov 22 12:37:49 EST 2019 | 6% | 40.43679025 | -79.96271025 | 1.75m/s | 5976.9033m
CUR_LOC | Fri Nov 22 12:37:50 EST 2019 | 6% | 40.43680428 | -79.96272507 | 1.5m/s | 5976.7637m
CUR_LOC | Fri Nov 22 12:37:51 EST 2019 | 6% | 40.43681701 | -79.96274019 | 1.5m/s | 5976.7417m
CUR_LOC | Fri Nov 22 12:37:52 EST 2019 | 6% | 40.4368304 | -79.96275495 | 1.5m/s | 5976.6484m
CUR_LOC | Fri Nov 22 12:37:53 EST 2019 | 6% | 40.43684235 | -79.96277278 | 1.5m/s | 5976.855m
CUR_LOC | Fri Nov 22 12:37:54 EST 2019 | 6% | 40.43685415 | -79.96278856 | 1.5m/s | 5976.9463m
CUR_LOC | Fri Nov 22 12:37:55 EST 2019 | 6% | 40.43686655 | -79.9628022 | 1.5m/s | 5976.8594m
CUR_LOC | Fri Nov 22 12:37:56 EST 2019 | 6% | 40.43687727 | -79.96281361 | 1.5m/s | 5976.761m
CUR_LOC | Fri Nov 22 12:37:57 EST 2019 | 6% | 40.4368841 | -79.96282312 | 1.5m/s | 5976.8384m
CUR_LOC | Fri Nov 22 12:37:58 EST 2019 | 6% | 40.43689112 | -79.96283223 | 1.5m/s | 5976.8765m
CUR_LOC | Fri Nov 22 12:37:59 EST 2019 | 6% | 40.43690236 | -79.96284092 | 1.5m/s | 5976.5703m
CUR_LOC | Fri Nov 22 12:38:00 EST 2019 | 6% | 40.43691381 | -79.96285079 | 1.5m/s | 5976.3223m
CUR_LOC | Fri Nov 22 12:38:01 EST 2019 | 6% | 40.43692713 | -79.96285976 | 1.5m/s | 5975.878m
CUR_LOC | Fri Nov 22 12:38:02 EST 2019 | 6% | 40.4369384 | -79.96286839 | 1.5m/s | 5975.567m
CUR_LOC | Fri Nov 22 12:38:03 EST 2019 | 6% | 40.43694886 | -79.96287595 | 1.25m/s | 5975.2505m
CUR_LOC | Fri Nov 22 12:38:04 EST 2019 | 6% | 40.43695706 | -79.96288706 | 1.25m/s | 5975.3257m
CUR_LOC | Fri Nov 22 12:38:05 EST 2019 | 6% | 40.43696511 | -79.96289664 | 1.25m/s | 5975.3174m
CUR_LOC | Fri Nov 22 12:38:06 EST 2019 | 6% | 40.43697347 | -79.96290498 | 1.25m/s | 5975.2085m
CUR_LOC | Fri Nov 22 12:38:07 EST 2019 | 6% | 40.43698202 | -79.96290991 | 1.25m/s | 5974.873m
CUR_LOC | Fri Nov 22 12:38:08 EST 2019 | 6% | 40.4369921 | -79.96291653 | 1.25m/s | 5974.528m
CUR_LOC | Fri Nov 22 12:38:09 EST 2019 | 6% | 40.43699907 | -79.96291997 | 1.25m/s | 5974.2183m
CUR_LOC | Fri Nov 22 12:38:10 EST 2019 | 6% | 40.43700456 | -79.96292296 | 1.25m/s | 5973.992m
CUR_LOC | Fri Nov 22 12:38:11 EST 2019 | 6% | 40.43700624 | -79.96292391 | 1.25m/s | 5973.925m
CUR_LOC | Fri Nov 22 12:38:12 EST 2019 | 6% | 40.43700289 | -79.96292299 | 0.5m/s | 5974.1196m
CUR_LOC | Fri Nov 22 12:38:13 EST 2019 | 6% | 40.43699923 | -79.96292699 | 0.75m/s | 5974.6445m
CUR_LOC | Fri Nov 22 12:38:14 EST 2019 | 6% | 40.43699535 | -79.96293241 | 0.5m/s | 5975.2744m
CUR_LOC | Fri Nov 22 12:38:15 EST 2019 | 6% | 40.43699109 | -79.96293704 | 0.5m/s | 5975.884m
CUR_LOC | Fri Nov 22 12:38:16 EST 2019 | 6% | 40.43699091 | -79.96293834 | 0.5m/s | 5975.9785m
CUR_LOC | Fri Nov 22 12:38:17 EST 2019 | 6% | 40.43698572 | -79.9629413 | 0.5m/s | 5976.5537m
CUR_LOC | Fri Nov 22 12:38:18 EST 2019 | 6% | 40.43697606 | -79.96293934 | 0.75m/s | 5977.158m
CUR_LOC | Fri Nov 22 12:38:19 EST 2019 | 6% | 40.43696896 | -79.96293629 | 0.5m/s | 5977.502m
CUR_LOC | Fri Nov 22 12:38:20 EST 2019 | 6% | 40.43696593 | -79.96293846 | 0.75m/s | 5977.865m
CUR_LOC | Fri Nov 22 12:38:21 EST 2019 | 6% | 40.4369703 | -79.96293644 | 0.5m/s | 5977.41m
CUR_LOC | Fri Nov 22 12:38:22 EST 2019 | 6% | 40.43697582 | -79.96294253 | 0.5m/s | 5977.375m
CUR_LOC | Fri Nov 22 12:38:23 EST 2019 | 6% | 40.43698754 | -79.9629402 | 0.5m/s | 5976.348m
CUR_LOC | Fri Nov 22 12:38:24 EST 2019 | 6% | 40.43699359 | -79.96293869 | 0.5m/s | 5975.799m
CUR_LOC | Fri Nov 22 12:38:25 EST 2019 | 6% | 40.43699816 | -79.96293888 | 0.5m/s | 5975.4673m
CUR_LOC | Fri Nov 22 12:38:26 EST 2019 | 6% | 40.43699956 | -79.96294083 | 0.5m/s | 5975.4834m
CUR_LOC | Fri Nov 22 12:38:27 EST 2019 | 6% | 40.43699984 | -79.96293859 | 0.5m/s | 5975.3228m
CUR_LOC | Fri Nov 22 12:38:28 EST 2019 | 6% | 40.43700823 | -79.96292107 | 0.5m/s | 5973.598m
CUR_LOC | Fri Nov 22 12:38:29 EST 2019 | 6% | 40.437015 | -79.96290668 | 0.5m/s | 5972.1904m
CUR_LOC | Fri Nov 22 12:38:30 EST 2019 | 6% | 40.43702209 | -79.96289799 | 0.75m/s | 5971.1147m
CUR_LOC | Fri Nov 22 12:38:31 EST 2019 | 6% | 40.43702831 | -79.96289287 | 0.75m/s | 5970.3276m
CUR_LOC | Fri Nov 22 12:38:32 EST 2019 | 6% | 40.43703342 | -79.96288741 | 0.5m/s | 5969.6025m
CUR_LOC | Fri Nov 22 12:38:33 EST 2019 | 6% | 40.43703938 | -79.96287449 | 0.75m/s | 5968.3477m
CUR_LOC | Fri Nov 22 12:38:34 EST 2019 | 6% | 40.43704464 | -79.96285895 | 0.75m/s | 5966.982m
CUR_LOC | Fri Nov 22 12:38:35 EST 2019 | 6% | 40.43705225 | -79.96284384 | 0.75m/s | 5965.4663m
CUR_LOC | Fri Nov 22 12:38:36 EST 2019 | 6% | 40.43706376 | -79.96283452 | 0.75m/s | 5964.019m
CUR_LOC | Fri Nov 22 12:38:37 EST 2019 | 6% | 40.43707167 | -79.96281672 | 0.75m/s | 5962.313m
CUR_LOC | Fri Nov 22 12:38:38 EST 2019 | 6% | 40.43707773 | -79.96279468 | 0.75m/s | 5960.4814m
CUR_LOC | Fri Nov 22 12:38:39 EST 2019 | 6% | 40.43708258 | -79.96277735 | 0.75m/s | 5959.035m
CUR_LOC | Fri Nov 22 12:38:40 EST 2019 | 6% | 40.43708822 | -79.96276454 | 0.75m/s | 5957.811m
CUR_LOC | Fri Nov 22 12:38:41 EST 2019 | 6% | 40.43709244 | -79.96275164 | 0.75m/s | 5956.6885m
CUR_LOC | Fri Nov 22 12:38:42 EST 2019 | 6% | 40.43709235 | -79.96273822 | 0.75m/s | 5955.858m
CUR_LOC | Fri Nov 22 12:38:43 EST 2019 | 6% | 40.43709618 | -79.9627311 | 0.75m/s | 5955.1255m
