Data Format:
GPS ON/OFF | Current Time (Seconds) | Screen On/Off | Trial # | Power Statistics for current time | TimeStamp
On | 0s | On | #1 | 2.00W, 2.10A, 10.10V | 2019-11-01 13:51:11.579769
On | 1s | On | #1 | 3.00W, 1.05A, 5.05V | 2019-11-01 13:51:11.631757
On | 2s | On | #1 | 4.00W, 2.65A, 10.15V | 2019-11-01 13:51:11.651751
On | 3s | On | #1 | 5.00W, 1.33A, 5.07V | 2019-11-01 13:51:11.671749
On | 4s | On | #1 | 6.00W, 2.93A, 10.17V | 2019-11-01 13:51:11.687744
On | 5s | On | #1 | 7.00W, 1.46A, 5.09V | 2019-11-01 13:51:11.707738
On | 6s | On | #1 | 8.00W, 3.06A, 10.19V | 2019-11-01 13:51:11.719734
On | 7s | On | #1 | 9.00W, 1.53A, 5.09V | 2019-11-01 13:51:11.731733
On | 8s | On | #1 | 10.00W, 3.13A, 10.19V | 2019-11-01 13:51:11.743729
On | 9s | On | #1 | 11.00W, 1.57A, 5.10V | 2019-11-01 13:51:11.759723
On | 10s | On | #1 | 12.00W, 3.17A, 10.20V | 2019-11-01 13:51:11.771721
On | 11s | On | #1 | 13.00W, 1.58A, 5.10V | 2019-11-01 13:51:11.791724
On | 12s | On | #1 | 14.00W, 3.18A, 10.20V | 2019-11-01 13:51:11.807712
On | 13s | On | #1 | 15.00W, 1.59A, 5.10V | 2019-11-01 13:51:11.827706
On | 14s | On | #1 | 16.00W, 3.19A, 10.20V | 2019-11-01 13:51:11.839706
On | 15s | On | #1 | 17.00W, 1.60A, 5.10V | 2019-11-01 13:51:11.859699
On | 16s | On | #1 | 18.00W, 3.20A, 10.20V | 2019-11-01 13:51:11.875697
On | 17s | On | #1 | 19.00W, 1.60A, 5.10V | 2019-11-01 13:51:11.891696
On | 18s | On | #1 | 20.00W, 3.20A, 10.20V | 2019-11-01 13:51:11.899688
On | 19s | On | #1 | 21.00W, 1.60A, 5.10V | 2019-11-01 13:51:11.919683
On | 20s | On | #1 | 22.00W, 3.20A, 10.20V | 2019-11-01 13:51:11.931681
On | 0s | On | #2 | 23.00W, 4.80A, 15.30V | 2019-11-01 13:51:11.947678
On | 1s | On | #2 | 24.00W, 2.40A, 7.65V | 2019-11-01 13:51:11.955676
On | 2s | On | #2 | 25.00W, 4.00A, 12.75V | 2019-11-01 13:51:11.967670
On | 3s | On | #2 | 26.00W, 2.00A, 6.37V | 2019-11-01 13:51:11.975670
On | 4s | On | #2 | 27.00W, 3.60A, 11.47V | 2019-11-01 13:51:11.991668
On | 5s | On | #2 | 28.00W, 1.80A, 5.74V | 2019-11-01 13:51:11.999662
On | 6s | On | #2 | 29.00W, 3.40A, 10.84V | 2019-11-01 13:51:12.011663
On | 7s | On | #2 | 30.00W, 1.70A, 5.42V | 2019-11-01 13:51:12.023658
On | 8s | On | #2 | 31.00W, 3.30A, 10.52V | 2019-11-01 13:51:12.035655
On | 9s | On | #2 | 32.00W, 1.65A, 5.26V | 2019-11-01 13:51:12.043655
On | 10s | On | #2 | 33.00W, 3.25A, 10.36V | 2019-11-01 13:51:12.055649
On | 11s | On | #2 | 34.00W, 1.62A, 5.18V | 2019-11-01 13:51:12.067645
On | 12s | On | #2 | 35.00W, 3.22A, 10.28V | 2019-11-01 13:51:12.079646
On | 13s | On | #2 | 36.00W, 1.61A, 5.14V | 2019-11-01 13:51:12.087659
On | 14s | On | #2 | 37.00W, 3.21A, 10.24V | 2019-11-01 13:51:12.099638
On | 15s | On | #2 | 38.00W, 1.61A, 5.12V | 2019-11-01 13:51:12.119637
On | 16s | On | #2 | 39.00W, 3.21A, 10.22V | 2019-11-01 13:51:12.147628
On | 17s | On | #2 | 40.00W, 1.60A, 5.11V | 2019-11-01 13:51:12.167649
On | 18s | On | #2 | 41.00W, 3.20A, 10.21V | 2019-11-01 13:51:12.195623
On | 19s | On | #2 | 42.00W, 1.60A, 5.10V | 2019-11-01 13:51:12.215610
On | 20s | On | #2 | 43.00W, 3.20A, 10.20V | 2019-11-01 13:51:12.243603
On | 0s | Off | #1 | 44.00W, 4.80A, 15.30V | 2019-11-01 13:51:12.267597
On | 1s | Off | #1 | 45.00W, 2.40A, 7.65V | 2019-11-01 13:51:12.303595
On | 2s | Off | #1 | 46.00W, 4.00A, 12.75V | 2019-11-01 13:51:12.339587
On | 3s | Off | #1 | 47.00W, 2.00A, 6.38V | 2019-11-01 13:51:12.371573
On | 4s | Off | #1 | 48.00W, 3.60A, 11.48V | 2019-11-01 13:51:12.399567
On | 5s | Off | #1 | 49.00W, 1.80A, 5.74V | 2019-11-01 13:51:12.431556
On | 6s | Off | #1 | 50.00W, 3.40A, 10.84V | 2019-11-01 13:51:12.459549
On | 7s | Off | #1 | 51.00W, 1.70A, 5.42V | 2019-11-01 13:51:12.491542
On | 8s | Off | #1 | 52.00W, 3.30A, 10.52V | 2019-11-01 13:51:12.519535
On | 9s | Off | #1 | 53.00W, 1.65A, 5.26V | 2019-11-01 13:51:12.559523
On | 10s | Off | #1 | 54.00W, 3.25A, 10.36V | 2019-11-01 13:51:12.591517
On | 11s | Off | #1 | 55.00W, 1.63A, 5.18V | 2019-11-01 13:51:12.631506
On | 12s | Off | #1 | 56.00W, 3.23A, 10.28V | 2019-11-01 13:51:12.663498
On | 13s | Off | #1 | 57.00W, 1.61A, 5.14V | 2019-11-01 13:51:12.703489
On | 14s | Off | #1 | 58.00W, 3.21A, 10.24V | 2019-11-01 13:51:12.727481
On | 15s | Off | #1 | 59.00W, 1.61A, 5.12V | 2019-11-01 13:51:12.755474
On | 16s | Off | #1 | 60.00W, 3.21A, 10.22V | 2019-11-01 13:51:12.775469
On | 17s | Off | #1 | 61.00W, 1.60A, 5.11V | 2019-11-01 13:51:12.803465
On | 18s | Off | #1 | 62.00W, 3.20A, 10.21V | 2019-11-01 13:51:12.823457
On | 19s | Off | #1 | 63.00W, 1.60A, 5.10V | 2019-11-01 13:51:12.851455
On | 20s | Off | #1 | 64.00W, 3.20A, 10.20V | 2019-11-01 13:51:12.871446
On | 0s | Off | #2 | 65.00W, 4.80A, 15.30V | 2019-11-01 13:51:12.903438
On | 1s | Off | #2 | 66.00W, 2.40A, 7.65V | 2019-11-01 13:51:12.927431
On | 2s | Off | #2 | 67.00W, 4.00A, 12.75V | 2019-11-01 13:51:12.955424
On | 3s | Off | #2 | 68.00W, 2.00A, 6.38V | 2019-11-01 13:51:12.975419
On | 4s | Off | #2 | 69.00W, 3.60A, 11.48V | 2019-11-01 13:51:13.003411
On | 5s | Off | #2 | 70.00W, 1.80A, 5.74V | 2019-11-01 13:51:13.023408
On | 6s | Off | #2 | 71.00W, 3.40A, 10.84V | 2019-11-01 13:51:13.051400
On | 7s | Off | #2 | 72.00W, 1.70A, 5.42V | 2019-11-01 13:51:13.067395
On | 8s | Off | #2 | 73.00W, 3.30A, 10.52V | 2019-11-01 13:51:13.095388
On | 9s | Off | #2 | 74.00W, 1.65A, 5.26V | 2019-11-01 13:51:13.119382
On | 10s | Off | #2 | 75.00W, 3.25A, 10.36V | 2019-11-01 13:51:13.151374
