Data Format:
GPS ON/OFF | Current Time (Seconds) | Screen On/Off | Trial # | Power Statistics for current time | TimeStamp
On | 0s | On | #1 | 2.00W, 2.10A, 10.10V | 2019-11-01 13:41:50.648806
On | 1s | On | #1 | 3.00W, 1.05A, 5.05V | 2019-11-01 13:41:50.688795
On | 2s | On | #1 | 4.00W, 2.65A, 10.15V | 2019-11-01 13:41:50.704791
On | 3s | On | #1 | 5.00W, 1.33A, 5.07V | 2019-11-01 13:41:50.724786
On | 4s | On | #1 | 6.00W, 2.93A, 10.17V | 2019-11-01 13:41:50.740783
On | 5s | On | #1 | 7.00W, 1.46A, 5.09V | 2019-11-01 13:41:50.760784
On | 6s | On | #1 | 8.00W, 3.06A, 10.19V | 2019-11-01 13:41:50.776773
On | 7s | On | #1 | 9.00W, 1.53A, 5.09V | 2019-11-01 13:41:50.796770
On | 8s | On | #1 | 10.00W, 3.13A, 10.19V | 2019-11-01 13:41:50.812767
On | 9s | On | #1 | 11.00W, 1.57A, 5.10V | 2019-11-01 13:41:50.828764
On | 10s | On | #1 | 12.00W, 3.17A, 10.20V | 2019-11-01 13:41:50.844758
On | 11s | On | #1 | 13.00W, 1.58A, 5.10V | 2019-11-01 13:41:50.864750
On | 12s | On | #1 | 14.00W, 3.18A, 10.20V | 2019-11-01 13:41:50.880747
On | 13s | On | #1 | 15.00W, 1.59A, 5.10V | 2019-11-01 13:41:50.900742
On | 14s | On | #1 | 16.00W, 3.19A, 10.20V | 2019-11-01 13:41:50.916738
On | 15s | On | #1 | 17.00W, 1.60A, 5.10V | 2019-11-01 13:41:50.932738
On | 16s | On | #1 | 18.00W, 3.20A, 10.20V | 2019-11-01 13:41:50.944731
On | 17s | On | #1 | 19.00W, 1.60A, 5.10V | 2019-11-01 13:41:50.968726
On | 18s | On | #1 | 20.00W, 3.20A, 10.20V | 2019-11-01 13:41:50.984720
On | 19s | On | #1 | 21.00W, 1.60A, 5.10V | 2019-11-01 13:41:51.004718
On | 20s | On | #1 | 22.00W, 3.20A, 10.20V | 2019-11-01 13:41:51.020711
On | 0s | On | #2 | 23.00W, 4.80A, 15.30V | 2019-11-01 13:41:51.040708
On | 1s | On | #2 | 24.00W, 2.40A, 7.65V | 2019-11-01 13:41:51.056703
On | 2s | On | #2 | 25.00W, 4.00A, 12.75V | 2019-11-01 13:41:51.076702
On | 3s | On | #2 | 26.00W, 2.00A, 6.37V | 2019-11-01 13:41:51.092697
On | 4s | On | #2 | 27.00W, 3.60A, 11.47V | 2019-11-01 13:41:51.112688
On | 5s | On | #2 | 28.00W, 1.80A, 5.74V | 2019-11-01 13:41:51.128688
On | 6s | On | #2 | 29.00W, 3.40A, 10.84V | 2019-11-01 13:41:51.144684
On | 7s | On | #2 | 30.00W, 1.70A, 5.42V | 2019-11-01 13:41:51.160676
On | 8s | On | #2 | 31.00W, 3.30A, 10.52V | 2019-11-01 13:41:51.180673
On | 9s | On | #2 | 32.00W, 1.65A, 5.26V | 2019-11-01 13:41:51.192670
On | 10s | On | #2 | 33.00W, 3.25A, 10.36V | 2019-11-01 13:41:51.208664
On | 11s | On | #2 | 34.00W, 1.62A, 5.18V | 2019-11-01 13:41:51.220661
On | 12s | On | #2 | 35.00W, 3.22A, 10.28V | 2019-11-01 13:41:51.236659
On | 13s | On | #2 | 36.00W, 1.61A, 5.14V | 2019-11-01 13:41:51.248654
On | 14s | On | #2 | 37.00W, 3.21A, 10.24V | 2019-11-01 13:41:51.268648
On | 15s | On | #2 | 38.00W, 1.61A, 5.12V | 2019-11-01 13:41:51.280647
On | 16s | On | #2 | 39.00W, 3.21A, 10.22V | 2019-11-01 13:41:51.300640
On | 17s | On | #2 | 40.00W, 1.60A, 5.11V | 2019-11-01 13:41:51.316637
On | 18s | On | #2 | 41.00W, 3.20A, 10.21V | 2019-11-01 13:41:51.328633
On | 19s | On | #2 | 42.00W, 1.60A, 5.10V | 2019-11-01 13:41:51.344629
On | 20s | On | #2 | 43.00W, 3.20A, 10.20V | 2019-11-01 13:41:51.360627
On | 0s | Off | #1 | 44.00W, 4.80A, 15.30V | 2019-11-01 13:41:51.372623
On | 1s | Off | #1 | 45.00W, 2.40A, 7.65V | 2019-11-01 13:41:51.392619
On | 2s | Off | #1 | 46.00W, 4.00A, 12.75V | 2019-11-01 13:41:51.400615
On | 3s | Off | #1 | 47.00W, 2.00A, 6.38V | 2019-11-01 13:41:51.416614
On | 4s | Off | #1 | 48.00W, 3.60A, 11.48V | 2019-11-01 13:41:51.432609
